game,game_time,blue_team,blue_team_dragons,blue_team_gold,blue_team_inhibitors,blue_team_barons,blue_team_towers,blue_team_kills,blue_team_top,blue_team_top_kills,blue_team_top_deaths,blue_team_top_assists,blue_team_top_cs,blue_team_top_gold,blue_team_jungle,blue_team_jungle_kills,blue_team_jungle_deaths,blue_team_jungle_assists,blue_team_jungle_cs,blue_team_jungle_gold,blue_team_mid,blue_team_mid_kills,blue_team_mid_deaths,blue_team_mid_assists,blue_team_mid_cs,blue_team_mid_gold,blue_team_bottom,blue_team_bottom_kills,blue_team_bottom_deaths,blue_team_bottom_assists,blue_team_bottom_cs,blue_team_bottom_gold,blue_team_support,blue_team_support_kills,blue_team_support_deaths,blue_team_support_assists,blue_team_support_cs,blue_team_support_gold,red_team,red_team_dragons,red_team_gold,red_team_inhibitors,red_team_barons,red_team_towers,red_team_kills,red_team_top,red_team_top_kills,red_team_top_deaths,red_team_top_assists,red_team_top_cs,red_team_top_gold,red_team_jungle,red_team_jungle_kills,red_team_jungle_deaths,red_team_jungle_assists,red_team_jungle_cs,red_team_jungle_gold,red_team_mid,red_team_mid_kills,red_team_mid_deaths,red_team_mid_assists,red_team_mid_cs,red_team_mid_gold,red_team_bottom,red_team_bottom_kills,red_team_bottom_deaths,red_team_bottom_assists,red_team_bottom_cs,red_team_bottom_gold,red_team_support,red_team_support_kills,red_team_support_deaths,red_team_support_assists,red_team_support_cs,red_team_support_gold
101,late,VKS,['infernal'],36.7 K,0,0,2,5,Guigo,0,3,0,191,7.9 K,Disamis,1,2,3,131,7.0 K,Leleko,1,1,3,197,8.3 K,Smiley,1,3,2,176,7.5 K,ProDelta,2,1,2,37,6.0 K,PNG,"['mountain', 'hextech']",39.2 K,0,0,3,10,Wizer,1,2,3,179,7.9 K,CarioK,1,2,5,126,6.9 K,dyNquedo,2,0,6,215,9.3 K,TitaN,4,1,2,191,8.9 K,Kuri,2,0,5,33,6.1 K
102,late,PNG,"['ocean', 'hextech', 'hextech']",65.2 K,1,2,7,17,Wizer,1,5,9,277,13.4 K,CarioK,2,4,10,170,10.8 K,dyNquedo,7,0,6,287,15.7 K,TitaN,4,0,8,339,15.4 K,Kuri,3,1,12,42,9.9 K,VKS,"['hextech', 'chemtech']",55.6 K,0,0,3,10,Guigo,3,4,4,281,12.4 K,Disamis,1,2,3,203,9.9 K,Leleko,1,2,3,270,11.3 K,Smiley,3,5,3,314,13.1 K,ProDelta,2,4,4,67,8.9 K
103,late,LLL,"['mountain', 'mountain', 'mountain', 'mountain']",77.7 K,2,2,9,20,Robo,0,3,9,288,14.3 K,Croc,3,4,11,221,14.2 K,tinowns,7,0,9,313,17.2 K,Route,6,0,8,381,20.6 K,RedBert,4,5,13,27,11.3 K,RED,"['mountain', 'chemtech', 'hextech']",67.5 K,0,0,3,12,fNb,2,4,3,307,13.6 K,Aegis,1,6,10,183,11.0 K,Grevthar,2,4,8,372,15.9 K,Brance,6,3,6,372,17.8 K,JoJo,1,3,11,40,9.3 K
104,late,RED,[],47.6 K,0,0,6,8,fNb,1,3,2,270,11.8 K,Aegis,0,4,5,127,7.3 K,Grevthar,0,4,4,224,9.1 K,Brance,5,4,3,234,12.2 K,JoJo,2,4,6,29,7.2 K,LLL,"['hextech', 'hextech', 'ocean', 'cloud']",58.6 K,3,1,11,19,Robo,4,1,7,250,12.7 K,Croc,1,1,9,196,10.1 K,tinowns,8,2,6,271,15.1 K,Route,6,0,6,256,13.6 K,RedBert,0,4,11,25,7.0 K
105,late,LLL,"['mountain', 'mountain', 'mountain']",70.0 K,1,1,9,15,Robo,3,2,2,325,15.0 K,Croc,3,1,9,209,12.5 K,tinowns,1,0,9,297,14.0 K,Route,8,1,4,379,19.0 K,RedBert,0,1,14,22,9.6 K,RED,"['mountain', 'infernal', 'ocean']",60.4 K,0,0,4,5,fNb,1,3,0,319,13.9 K,Aegis,0,3,3,196,10.5 K,Grevthar,1,1,2,295,12.6 K,Brance,2,3,2,375,15.3 K,JoJo,1,5,3,39,8.1 K
106,late,KBM,[],50.1 K,0,1,1,5,Lonely,1,1,0,256,10.9 K,Malrang,1,3,4,155,8.9 K,Hauz,1,5,2,256,11.3 K,Netuno,1,4,1,309,12.2 K,Ceos,1,5,3,29,6.7 K,RED,"['mountain', 'mountain', 'cloud', 'infernal']",61.1 K,3,1,11,18,fNb,3,0,3,262,12.7 K,Aegis,4,1,9,180,12.1 K,Grevthar,2,2,10,244,11.6 K,Brance,9,0,5,328,16.7 K,JoJo,0,2,13,34,7.8 K
107,late,KBM,"['mountain', 'infernal', 'infernal']",58.5 K,0,0,3,11,Lonely,4,3,4,261,12.9 K,Malrang,1,3,6,162,9.7 K,Hauz,3,2,7,254,12.0 K,Netuno,3,2,5,383,16.6 K,Ceos,0,8,8,30,7.4 K,RED,"['infernal', 'ocean']",64.0 K,2,2,8,18,fNb,4,3,6,284,14.7 K,Aegis,1,1,8,249,12.9 K,Grevthar,6,2,10,224,12.6 K,Brance,6,1,6,263,15.0 K,JoJo,1,4,17,29,8.8 K
108,late,RED,"['chemtech', 'ocean', 'ocean']",54.7 K,2,1,11,16,fNb,2,0,3,234,11.2 K,Aegis,2,0,13,151,10.3 K,Grevthar,3,1,10,219,11.0 K,Brance,8,1,4,261,14.3 K,JoJo,1,0,13,27,7.9 K,KBM,['hextech'],41.0 K,0,0,0,2,Lonely,1,3,0,204,9.0 K,Malrang,1,4,1,162,8.0 K,Hauz,0,1,1,244,9.5 K,Netuno,0,3,0,250,9.3 K,Ceos,0,5,0,25,5.1 K
109,late,LOS,"['chemtech', 'cloud']",69.8 K,0,0,4,13,SuperCleber,6,4,5,365,17.0 K,Seize,0,3,7,186,10.8 K,Envy,3,3,4,345,15.2 K,Celo,4,2,6,423,18.2 K,Kabbie,0,2,10,38,8.5 K,VKS,"['cloud', 'cloud', 'cloud', 'mountain']",78.2 K,1,3,9,14,Guigo,3,4,5,321,15.3 K,Disamis,3,3,6,238,14.1 K,Leleko,4,1,9,356,17.1 K,Smiley,3,3,8,450,20.5 K,ProDelta,1,2,11,51,11.2 K
11,late,RED,"['cloud', 'infernal', 'infernal', 'infernal']",94.1 K,6,4,11,12,fNb,1,3,6,407,19.1 K,Aegis,2,2,9,323,17.6 K,Grevthar,3,1,7,368,20.7 K,Brance,4,3,4,372,20.6 K,frosty,2,3,8,160,16.2 K,LOS,"['elder', 'infernal', 'chemtech']",84.5 K,0,0,1,12,SuperCleber,2,3,8,372,17.9 K,Seize,1,4,5,241,14.2 K,Envy,4,2,5,533,22.7 K,Celo,2,3,10,286,16.0 K,Kabbie,3,0,7,186,13.7 K
